scenario,case,sa,metric,statistic,mean,mc_ci95_low,mc_ci95_high,n_samples
shape_only,A,0.6,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,0.8,functionality_day_90,mean_top3_jaccard,0.9989166666666666,1.0,1.0,10000
shape_only,A,1.0,functionality_day_90,mean_top3_jaccard,0.9972033333333333,1.0,1.0,10000
shape_only,A,0.2,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.4,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.6,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.8,functionality_day_90,mean_kendall_tau,0.998631111111111,1.0,1.0,10000
shape_only,A,1.0,functionality_day_90,mean_kendall_tau,0.9965066666666665,1.0,1.0,10000
shape_only,A,0.2,functionality_day_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.4,functionality_day_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.6,functionality_day_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.8,functionality_day_90,mean_spearman_rho,0.9991333333333334,1.0,1.0,10000
shape_only,A,1.0,functionality_day_90,mean_spearman_rho,0.9972590476190475,1.0,1.0,10000
shape_only,A,0.2,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.4,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.6,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.8,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,1.0,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.2,recovery_rapidity_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,A,0.4,recovery_rapidity_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,A,0.6,recovery_rapidity_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,A,0.8,recovery_rapidity_90,pairwise_reversal_rate,0.00668111111111111,0.0,0.16666666666666666,10000
shape_only,A,1.0,recovery_rapidity_90,pairwise_reversal_rate,0.011828888888888889,0.0,0.2,10000
shape_only,A,0.2,recovery_rapidity_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,0.4,recovery_rapidity_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,0.6,recovery_rapidity_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,0.8,recovery_rapidity_90,mean_top3_jaccard,0.99435,0.8333333333333334,1.0,10000
shape_only,A,1.0,recovery_rapidity_90,mean_top3_jaccard,0.9900366666666669,0.8333333333333334,1.0,10000
shape_only,A,0.2,recovery_rapidity_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.4,recovery_rapidity_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.6,recovery_rapidity_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.8,recovery_rapidity_90,mean_kendall_tau,0.9909111111111111,0.7777777777777778,1.0,10000
shape_only,A,1.0,recovery_rapidity_90,mean_kendall_tau,0.9839555555555555,0.7333333333333334,1.0,10000
shape_only,A,0.2,recovery_rapidity_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.4,recovery_rapidity_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.6,recovery_rapidity_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.8,recovery_rapidity_90,mean_spearman_rho,0.9929961904761905,0.8285714285714286,1.0,10000
shape_only,A,1.0,recovery_rapidity_90,mean_spearman_rho,0.9862380952380952,0.7519047619047661,1.0,10000
shape_only,B,0.2,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.4,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.6,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.8,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,1.0,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.2,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.4,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.6,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.8,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,1.0,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.2,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.4,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.6,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.8,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,1.0,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.2,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.4,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.6,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.8,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,1.0,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.2,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.4,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.6,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.8,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,1.0,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.2,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.4,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.6,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.8,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,1.0,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.2,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.4,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.6,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.8,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,1.0,functionality_day_30,pairwise_reversal_rate,0.0001611111111111111,0.0,0.0,10000
shape_only,B,0.2,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.4,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.6,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.8,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,1.0,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.2,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.4,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.6,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.8,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,1.0,functionality_day_30,mean_kendall_tau,0.9996133333333334,1.0,1.0,10000
shape_only,B,0.2,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.4,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.6,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.8,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,1.0,functionality_day_30,mean_spearman_rho,0.9998342857142856,1.0,1.0,10000
shape_only,B,0.2,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.4,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.6,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.8,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,1.0,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.2,functionality_day_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.4,functionality_day_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.6,functionality_day_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.8,functionality_day_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,1.0,functionality_day_90,pairwise_reversal_rate,7.777777777777777e-05,0.0,0.0,10000
shape_only,B,0.2,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.4,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.6,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.8,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,1.0,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.2,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.4,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.6,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,0.8,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,B,1.0,functionality_day_90,mean_kendall_tau,0.99976,1.0,1.0,10000
shape_only,B,0.2,functionality_day_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.4,functionality_day_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.6,functionality_day_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,0.8,functionality_day_90,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,B,1.0,functionality_day_90,mean_spearman_rho,0.9998971428571429,1.0,1.0,10000
shape_only,B,0.2,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.4,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.6,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.8,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,1.0,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
shape_only,B,0.2,recovery_rapidity_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.4,recovery_rapidity_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.6,recovery_rapidity_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,0.8,recovery_rapidity_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,B,1.0,recovery_rapidity_90,pairwise_reversal_rate,0.001131111111111111,0.0,0.03333333333333333,10000
shape_only,B,0.2,recovery_rapidity_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.4,recovery_rapidity_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.6,recovery_rapidity_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,0.8,recovery_rapidity_90,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,B,1.0,recovery_rapidity_90,mean_top3_jaccard,0.9999166666666668,1.0,1.0,10000
shape_only,B,0.2,recovery_rapidity_90,mean_kendall_tau,1.0,1.0,1.0,10000
