scenario,metric,candidate,mean_regret,bootstrap_ci95_low,bootstrap_ci95_high
shape_only,resilience_index,L0,0.9990164144635523,0.9982818600656106,0.9996531319890447
shape_only,resilience_index,L1,0.6424385879923443,0.604428302645113,0.6785908643809863
shape_only,resilience_index,L2,0.3659516525239976,0.3262532542803857,0.4042294628258505
shape_only,resilience_index,L3,0.15525050347977798,0.13246008214673735,0.17801548444667573
shape_only,resilience_index,L4,0.00017774920962397673,4.4437302405993904e-05,0.00035549841924795264
shape_only,resilience_index,F_fast,0.3659516525239976,0.3262532542803857,0.4042294628258505
shape_only,functionality_day_30,L0,0.9947387269658465,0.9928696892493304,0.9963679216278317
shape_only,functionality_day_30,L1,0.6482536544869257,0.6091549632260619,0.6865962577553548
shape_only,functionality_day_30,L2,0.37491947293906225,0.3336376011183604,0.41677454832586924
shape_only,functionality_day_30,L3,0.16205890248799865,0.1375607079032632,0.1873173180326674
shape_only,functionality_day_30,L4,0.0011100836431879588,0.00027306020460546066,0.0021954870492982654
shape_only,functionality_day_30,F_fast,0.37491947293906225,0.3336376011183604,0.41677454832586924
shape_only,functionality_day_90,L0,0.9414147445755126,0.9380188436780875,0.9444814790956854
shape_only,functionality_day_90,L1,0.5866431042706597,0.5492657200057549,0.6216586442576685
shape_only,functionality_day_90,L2,0.3264737289466959,0.28869914453185375,0.3626687704741836
shape_only,functionality_day_90,L3,0.14218942354868586,0.1182949854505841,0.1664184940937645
shape_only,functionality_day_90,L4,0.0023224945025513677,0.0005765469895327215,0.004611686918594287
shape_only,functionality_day_90,F_fast,0.3264737289466959,0.28869914453185375,0.3626687704741836
shape_only,recovery_rapidity_90,L0,0.9945300282556337,0.9906229531692563,0.9978048915061233
shape_only,recovery_rapidity_90,L1,0.6476947115531282,0.5519185603967774,0.7385101198752283
shape_only,recovery_rapidity_90,L2,0.4428024790995472,0.35333966422077456,0.5312033152131309
shape_only,recovery_rapidity_90,L3,0.22482294330527344,0.1652136280358818,0.286374467889783
shape_only,recovery_rapidity_90,L4,0.0021537480642516665,0.0003401121787382006,0.004445477188977725
shape_only,recovery_rapidity_90,F_fast,0.4428024790995472,0.35333966422077456,0.5312033152131309
evidence_tradeoff,resilience_index,L0,0.9971652592958437,0.9955978857911846,0.9985798186403608
evidence_tradeoff,resilience_index,L1,0.7879500315765772,0.7361614086440315,0.8374378197504576
evidence_tradeoff,resilience_index,L2,0.5885027691201234,0.5161466676865816,0.6590305415499672
evidence_tradeoff,resilience_index,L3,0.4259421669647961,0.3529260982600702,0.4993916695598976
evidence_tradeoff,resilience_index,L4,0.2897667281182045,0.22591703603769517,0.3552236424146451
evidence_tradeoff,resilience_index,F_fast,0.0,0.0,0.0
evidence_tradeoff,functionality_day_30,L0,0.9917274612961503,0.9890637923503588,0.9939072877731197
evidence_tradeoff,functionality_day_30,L1,0.7469628725652804,0.701599655474259,0.7907041919356683
evidence_tradeoff,functionality_day_30,L2,0.5370782011893529,0.47549115185187035,0.5983254582370395
evidence_tradeoff,functionality_day_30,L3,0.37130018147640353,0.3119423424979469,0.4321438065512331
evidence_tradeoff,functionality_day_30,L4,0.24155741687103144,0.19255926116556554,0.29276632637286165
evidence_tradeoff,functionality_day_30,F_fast,8.188655191630036e-05,5.080330118123375e-05,0.00011501152170485141
evidence_tradeoff,functionality_day_90,L0,0.8873394389386349,0.8754806329760996,0.8980547526559078
evidence_tradeoff,functionality_day_90,L1,0.7479711865778025,0.7133793982811418,0.7801777617013039
evidence_tradeoff,functionality_day_90,L2,0.5920906735404368,0.5368321478546487,0.6448761619456627
evidence_tradeoff,functionality_day_90,L3,0.46410972403019146,0.4019758115038246,0.5242913363109022
evidence_tradeoff,functionality_day_90,L4,0.35104203162543857,0.29231985625697077,0.4095457193078644
evidence_tradeoff,functionality_day_90,F_fast,0.0,0.0,0.0
evidence_tradeoff,recovery_rapidity_90,L0,0.9390357839722329,0.9116248637713309,0.9642134784661075
evidence_tradeoff,recovery_rapidity_90,L1,0.7147084279248714,0.6090440680647563,0.8108069426455584
evidence_tradeoff,recovery_rapidity_90,L2,0.600042996416488,0.4768816027864568,0.717073064001864
evidence_tradeoff,recovery_rapidity_90,L3,0.4686223677511845,0.34242814269181804,0.5952640069642421
evidence_tradeoff,recovery_rapidity_90,L4,0.3376232430828313,0.22478900771387172,0.4572592067895585
evidence_tradeoff,recovery_rapidity_90,F_fast,0.005892108647210102,0.0028240305986398802,0.009386471092290119
