scenario,excluded_metric,top1_candidate,mean_regret_L0,bootstrap_ci95_low_L0,bootstrap_ci95_high_L0,mean_regret_L1,bootstrap_ci95_low_L1,bootstrap_ci95_high_L1,mean_regret_L2,bootstrap_ci95_low_L2,bootstrap_ci95_high_L2,mean_regret_L3,bootstrap_ci95_low_L3,bootstrap_ci95_high_L3,mean_regret_L4,bootstrap_ci95_low_L4,bootstrap_ci95_high_L4,mean_regret_F_fast,bootstrap_ci95_low_F_fast,bootstrap_ci95_high_F_fast
shape_only,resilience_index,L4,0.9768944999323316,0.9720841055947984,0.9816779542516241,0.6275304901035714,0.5901643814124992,0.6630165113630503,0.38139856032843517,0.3455213727475319,0.4169833820066057,0.1763570897806527,0.1527472833992609,0.20045650408633378,0.0018621087366636644,0.000894267690055287,0.002934930792512632,0.38139856032843517,0.3455213727475319,0.4169833820066057
shape_only,functionality_day_30,L4,0.9783203957649002,0.973145788462836,0.9832010038945903,0.6255921346053775,0.5885888019277455,0.6600592110525031,0.37840928685674696,0.34287434276086,0.4137037591414946,0.17408762344457918,0.15084433467416014,0.19772767598428595,0.0015513305921423372,0.0006404043493173954,0.0026468200536859648,0.37840928685674696,0.34287434276086,0.4137037591414946
shape_only,functionality_day_90,L4,0.9960950565616771,0.9945365668799367,0.9974561342091334,0.6461289846774662,0.6095670054383774,0.6814194821257566,0.39455786818753563,0.3591457852395114,0.4300418744247887,0.18071078309101676,0.15759591726408595,0.20451808598697893,0.0011471936390212009,0.000428400959173199,0.0020329081601683312,0.39455786818753563,0.3591457852395114,0.4300418744247887
shape_only,recovery_rapidity_90,L4,0.978389962001638,0.9733705626466936,0.9831001856429212,0.6257784489166432,0.6039061223878607,0.6477034191667189,0.355781618136585,0.3332100814232918,0.3788087306800692,0.15316627650548756,0.1394230821086807,0.16716854821459598,0.001203442451787768,0.0005033080806660016,0.0020525072953130196,0.355781618136585,0.3332100814232918,0.3788087306800692
evidence_tradeoff,resilience_index,F_fast,0.9393675614023391,0.9268223843161445,0.9513186193364794,0.7365474956893183,0.6959779072237848,0.7745716464431086,0.5764039570487591,0.5259573186120664,0.6251037235087338,0.43467742441925983,0.3831562591928133,0.4867493920663302,0.31007423052643385,0.2632499087192012,0.3584836584579338,0.001991331733042134,0.0009037793020519227,0.0032658047543427083
evidence_tradeoff,functionality_day_30,F_fast,0.9411801607355703,0.9284696209836297,0.9534075331426918,0.7502098820264173,0.7093680541422789,0.7886566120716213,0.5935454796923493,0.5428395123940084,0.6427090377731761,0.45289141958205736,0.40007316960598555,0.5059098610471167,0.3261440009421582,0.27732227204571547,0.37558319676760665,0.001964036215736701,0.0008740460693291151,0.0032798338295251805
evidence_tradeoff,functionality_day_90,F_fast,0.9759761681880755,0.9652052345024841,0.9853223156602473,0.7498737773555764,0.7067466307208624,0.7890432295937946,0.5752079889086548,0.5226326849098469,0.6253033661925335,0.4219549053974612,0.3678836124534077,0.47519122941313363,0.28964912935735565,0.2422356095240545,0.33854434692731494,0.001991331733042134,0.0009016468137585592,0.0032457615796346166
evidence_tradeoff,recovery_rapidity_90,F_fast,0.9587440531768762,0.9486046513086785,0.9684966842251655,0.7609613635732195,0.7356400913317854,0.7860527477328457,0.5725572146166378,0.5366682001631623,0.6087004383054035,0.420450690823797,0.3829353578334743,0.4584932444065007,0.2941220588715582,0.26081021225049444,0.328698130592282,2.7295517305433453e-05,1.5412348514118475e-05,4.082465547583018e-05
boundary_tradeoff,resilience_index,F_fast,0.9300751585216509,0.913922053982446,0.9447215525397379,0.7111444013155533,0.6729031620385156,0.7485096884111915,0.5280979703327227,0.48130839834481753,0.576108629751876,0.3604271087635716,0.312226624683336,0.4124892745519054,0.20451739427374646,0.16131997155131156,0.25172148636852465,0.059425271221769556,0.046815332436280825,0.07282605362765752
boundary_tradeoff,functionality_day_30,F_fast,0.9317608928752011,0.9152217890903098,0.9469974418279185,0.7306514120347075,0.6895072757060678,0.7686223213481527,0.5551686010712611,0.5046544540954843,0.6041133894828126,0.39219813614646315,0.3414947797588032,0.4440836956484347,0.2366028768881278,0.19282742049277132,0.28336999144443076,0.029910070227308398,0.02050977062955446,0.040376624457627824
boundary_tradeoff,functionality_day_90,F_fast,0.9662709727981574,0.9510546557564136,0.979501347545838,0.7219747572524141,0.6802142615033093,0.7604284212508884,0.518687134698174,0.4679218840807644,0.5681039414648357,0.3327492931405692,0.2814862424805514,0.38359524202795003,0.16170336137685598,0.11781579562689054,0.20690955545769554,0.05992018977810458,0.046821227637987885,0.07364862573330237
boundary_tradeoff,recovery_rapidity_90,F_fast,0.9579471865264291,0.947704004036125,0.9675792918902014,0.731066920724322,0.7069758715355375,0.7553623967775246,0.5074922358840378,0.47417978813328815,0.5413645543523357,0.32105564674692294,0.28690199422720536,0.3555924287584629,0.16258194768872972,0.1323854581444267,0.19395458388267442,0.045936285790650906,0.035802076542062175,0.05663404583952613
