scenario,cost_form,alpha_scenario,alpha,theta_f,candidate,capacity,speed_multiplier,mean_loss_days,cost_index,pareto_frontier,engineering_action_candidate,pareto_actionable,equivalent_group
evidence_tradeoff,linear,independent,0.0,1.25,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
evidence_tradeoff,linear,independent,0.0,1.25,L1,0.25,1.15,38.83044962497387,1.0,False,True,False,G2
evidence_tradeoff,linear,independent,0.0,1.25,L2,0.5,1.3,32.15913884757574,1.0,False,True,False,G3
evidence_tradeoff,linear,independent,0.0,1.25,L3,0.75,1.5,25.450971924173462,1.0,False,True,False,G4
evidence_tradeoff,linear,independent,0.0,1.25,L4,1.0,1.75,18.91124888921351,1.0,True,True,True,G5
evidence_tradeoff,linear,independent,0.0,1.25,F_fast,0.5,0.1,2.637711593729574,1.25,True,True,True,G6
evidence_tradeoff,linear,independent,0.0,1.5,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
evidence_tradeoff,linear,independent,0.0,1.5,L1,0.25,1.15,38.83044962497387,1.0,False,True,False,G2
evidence_tradeoff,linear,independent,0.0,1.5,L2,0.5,1.3,32.15913884757574,1.0,False,True,False,G3
evidence_tradeoff,linear,independent,0.0,1.5,L3,0.75,1.5,25.450971924173462,1.0,False,True,False,G4
evidence_tradeoff,linear,independent,0.0,1.5,L4,1.0,1.75,18.91124888921351,1.0,True,True,True,G5
evidence_tradeoff,linear,independent,0.0,1.5,F_fast,0.5,0.1,2.637711593729574,1.5,True,True,True,G6
evidence_tradeoff,linear,independent,0.0,2.0,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
evidence_tradeoff,linear,independent,0.0,2.0,L1,0.25,1.15,38.83044962497387,1.0,False,True,False,G2
