scenario,cost_form,alpha_scenario,alpha,theta_f,candidate,capacity,speed_multiplier,mean_loss_days,cost_index,pareto_frontier,engineering_action_candidate,pareto_actionable,equivalent_group
shape_only,linear,moderate,0.5,1.5,L0,0.0,1.0,43.52602158068175,0.875,True,False,False,G1
shape_only,linear,moderate,0.5,1.5,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,linear,moderate,0.5,1.5,L2,0.5,1.0,24.830955295272016,1.125,True,True,True,G3
shape_only,linear,moderate,0.5,1.5,L3,0.75,1.0,17.11675343973211,1.25,True,True,True,G4
shape_only,linear,moderate,0.5,1.5,L4,1.0,1.0,11.013858700942551,1.375,True,True,True,G5
shape_only,linear,moderate,0.5,1.5,F_fast,0.5,1.0,24.830955295272016,1.6875,False,True,False,G6
shape_only,linear,moderate,0.5,2.0,L0,0.0,1.0,43.52602158068175,0.875,True,False,False,G1
shape_only,linear,moderate,0.5,2.0,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,linear,moderate,0.5,2.0,L2,0.5,1.0,24.830955295272016,1.125,True,True,True,G3
shape_only,linear,moderate,0.5,2.0,L3,0.75,1.0,17.11675343973211,1.25,True,True,True,G4
shape_only,linear,moderate,0.5,2.0,L4,1.0,1.0,11.013858700942551,1.375,True,True,True,G5
shape_only,linear,moderate,0.5,2.0,F_fast,0.5,1.0,24.830955295272016,2.25,False,True,False,G6
shape_only,linear,strong,1.0,0.5,L0,0.0,1.0,43.52602158068175,0.75,False,False,False,G1
shape_only,linear,strong,1.0,0.5,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,linear,strong,1.0,0.5,L2,0.5,1.0,24.830955295272016,1.25,False,True,False,G3
shape_only,linear,strong,1.0,0.5,L3,0.75,1.0,17.11675343973211,1.5,True,True,True,G4
shape_only,linear,strong,1.0,0.5,L4,1.0,1.0,11.013858700942551,1.75,True,True,True,G5
shape_only,linear,strong,1.0,0.5,F_fast,0.5,1.0,24.830955295272016,0.625,True,True,True,G6
shape_only,linear,strong,1.0,0.8,L0,0.0,1.0,43.52602158068175,0.75,True,False,False,G1
shape_only,linear,strong,1.0,0.8,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,linear,strong,1.0,0.8,L2,0.5,1.0,24.830955295272016,1.25,False,True,False,G3
shape_only,linear,strong,1.0,0.8,L3,0.75,1.0,17.11675343973211,1.5,True,True,True,G4
shape_only,linear,strong,1.0,0.8,L4,1.0,1.0,11.013858700942551,1.75,True,True,True,G5
shape_only,linear,strong,1.0,0.8,F_fast,0.5,1.0,24.830955295272016,1.0,True,True,True,G6
shape_only,linear,strong,1.0,1.0,L0,0.0,1.0,43.52602158068175,0.75,True,False,False,G1
shape_only,linear,strong,1.0,1.0,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,linear,strong,1.0,1.0,L2,0.5,1.0,24.830955295272016,1.25,True,True,True,G3
shape_only,linear,strong,1.0,1.0,L3,0.75,1.0,17.11675343973211,1.5,True,True,True,G4
shape_only,linear,strong,1.0,1.0,L4,1.0,1.0,11.013858700942551,1.75,True,True,True,G5
shape_only,linear,strong,1.0,1.0,F_fast,0.5,1.0,24.830955295272016,1.25,True,True,True,G3
shape_only,linear,strong,1.0,1.25,L0,0.0,1.0,43.52602158068175,0.75,True,False,False,G1
shape_only,linear,strong,1.0,1.25,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,linear,strong,1.0,1.25,L2,0.5,1.0,24.830955295272016,1.25,True,True,True,G3
shape_only,linear,strong,1.0,1.25,L3,0.75,1.0,17.11675343973211,1.5,True,True,True,G4
shape_only,linear,strong,1.0,1.25,L4,1.0,1.0,11.013858700942551,1.75,True,True,True,G5
shape_only,linear,strong,1.0,1.25,F_fast,0.5,1.0,24.830955295272016,1.5625,False,True,False,G6
shape_only,linear,strong,1.0,1.5,L0,0.0,1.0,43.52602158068175,0.75,True,False,False,G1
shape_only,linear,strong,1.0,1.5,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,linear,strong,1.0,1.5,L2,0.5,1.0,24.830955295272016,1.25,True,True,True,G3
shape_only,linear,strong,1.0,1.5,L3,0.75,1.0,17.11675343973211,1.5,True,True,True,G4
shape_only,linear,strong,1.0,1.5,L4,1.0,1.0,11.013858700942551,1.75,True,True,True,G5
shape_only,linear,strong,1.0,1.5,F_fast,0.5,1.0,24.830955295272016,1.875,False,True,False,G6
shape_only,linear,strong,1.0,2.0,L0,0.0,1.0,43.52602158068175,0.75,True,False,False,G1
shape_only,linear,strong,1.0,2.0,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,linear,strong,1.0,2.0,L2,0.5,1.0,24.830955295272016,1.25,True,True,True,G3
shape_only,linear,strong,1.0,2.0,L3,0.75,1.0,17.11675343973211,1.5,True,True,True,G4
shape_only,linear,strong,1.0,2.0,L4,1.0,1.0,11.013858700942551,1.75,True,True,True,G5
shape_only,linear,strong,1.0,2.0,F_fast,0.5,1.0,24.830955295272016,2.5,False,True,False,G6
shape_only,exponential,independent,0.0,0.5,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
shape_only,exponential,independent,0.0,0.5,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,exponential,independent,0.0,0.5,L2,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,exponential,independent,0.0,0.5,L3,0.75,1.0,17.11675343973211,1.0,False,True,False,G4
shape_only,exponential,independent,0.0,0.5,L4,1.0,1.0,11.013858700942551,1.0,True,True,True,G5
shape_only,exponential,independent,0.0,0.5,F_fast,0.5,1.0,24.830955295272016,0.5,True,True,True,G6
shape_only,exponential,independent,0.0,0.8,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
shape_only,exponential,independent,0.0,0.8,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,exponential,independent,0.0,0.8,L2,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,exponential,independent,0.0,0.8,L3,0.75,1.0,17.11675343973211,1.0,False,True,False,G4
shape_only,exponential,independent,0.0,0.8,L4,1.0,1.0,11.013858700942551,1.0,True,True,True,G5
shape_only,exponential,independent,0.0,0.8,F_fast,0.5,1.0,24.830955295272016,0.8,True,True,True,G6
shape_only,exponential,independent,0.0,1.0,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
shape_only,exponential,independent,0.0,1.0,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,exponential,independent,0.0,1.0,L2,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,exponential,independent,0.0,1.0,L3,0.75,1.0,17.11675343973211,1.0,False,True,False,G4
shape_only,exponential,independent,0.0,1.0,L4,1.0,1.0,11.013858700942551,1.0,True,True,True,G5
shape_only,exponential,independent,0.0,1.0,F_fast,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,exponential,independent,0.0,1.25,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
shape_only,exponential,independent,0.0,1.25,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,exponential,independent,0.0,1.25,L2,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,exponential,independent,0.0,1.25,L3,0.75,1.0,17.11675343973211,1.0,False,True,False,G4
shape_only,exponential,independent,0.0,1.25,L4,1.0,1.0,11.013858700942551,1.0,True,True,True,G5
shape_only,exponential,independent,0.0,1.25,F_fast,0.5,1.0,24.830955295272016,1.25,False,True,False,G6
shape_only,exponential,independent,0.0,1.5,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
shape_only,exponential,independent,0.0,1.5,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,exponential,independent,0.0,1.5,L2,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,exponential,independent,0.0,1.5,L3,0.75,1.0,17.11675343973211,1.0,False,True,False,G4
shape_only,exponential,independent,0.0,1.5,L4,1.0,1.0,11.013858700942551,1.0,True,True,True,G5
shape_only,exponential,independent,0.0,1.5,F_fast,0.5,1.0,24.830955295272016,1.5,False,True,False,G6
shape_only,exponential,independent,0.0,2.0,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
shape_only,exponential,independent,0.0,2.0,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,exponential,independent,0.0,2.0,L2,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,exponential,independent,0.0,2.0,L3,0.75,1.0,17.11675343973211,1.0,False,True,False,G4
shape_only,exponential,independent,0.0,2.0,L4,1.0,1.0,11.013858700942551,1.0,True,True,True,G5
shape_only,exponential,independent,0.0,2.0,F_fast,0.5,1.0,24.830955295272016,2.0,False,True,False,G6
shape_only,exponential,moderate,0.5,0.5,L0,0.0,1.0,43.52602158068175,0.8824969025845955,False,False,False,G1
shape_only,exponential,moderate,0.5,0.5,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,exponential,moderate,0.5,0.5,L2,0.5,1.0,24.830955295272016,1.1331484530668263,False,True,False,G3
shape_only,exponential,moderate,0.5,0.5,L3,0.75,1.0,17.11675343973211,1.2840254166877414,True,True,True,G4
shape_only,exponential,moderate,0.5,0.5,L4,1.0,1.0,11.013858700942551,1.4549914146182013,True,True,True,G5
shape_only,exponential,moderate,0.5,0.5,F_fast,0.5,1.0,24.830955295272016,0.5665742265334132,True,True,True,G6
shape_only,exponential,moderate,0.5,0.8,L0,0.0,1.0,43.52602158068175,0.8824969025845955,True,False,False,G1
shape_only,exponential,moderate,0.5,0.8,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,exponential,moderate,0.5,0.8,L2,0.5,1.0,24.830955295272016,1.1331484530668263,False,True,False,G3
shape_only,exponential,moderate,0.5,0.8,L3,0.75,1.0,17.11675343973211,1.2840254166877414,True,True,True,G4
shape_only,exponential,moderate,0.5,0.8,L4,1.0,1.0,11.013858700942551,1.4549914146182013,True,True,True,G5
shape_only,exponential,moderate,0.5,0.8,F_fast,0.5,1.0,24.830955295272016,0.9065187624534611,True,True,True,G6
shape_only,exponential,moderate,0.5,1.0,L0,0.0,1.0,43.52602158068175,0.8824969025845955,True,False,False,G1
shape_only,exponential,moderate,0.5,1.0,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,exponential,moderate,0.5,1.0,L2,0.5,1.0,24.830955295272016,1.1331484530668263,True,True,True,G3
shape_only,exponential,moderate,0.5,1.0,L3,0.75,1.0,17.11675343973211,1.2840254166877414,True,True,True,G4
shape_only,exponential,moderate,0.5,1.0,L4,1.0,1.0,11.013858700942551,1.4549914146182013,True,True,True,G5
shape_only,exponential,moderate,0.5,1.0,F_fast,0.5,1.0,24.830955295272016,1.1331484530668263,True,True,True,G3
shape_only,exponential,moderate,0.5,1.25,L0,0.0,1.0,43.52602158068175,0.8824969025845955,True,False,False,G1
shape_only,exponential,moderate,0.5,1.25,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,exponential,moderate,0.5,1.25,L2,0.5,1.0,24.830955295272016,1.1331484530668263,True,True,True,G3
shape_only,exponential,moderate,0.5,1.25,L3,0.75,1.0,17.11675343973211,1.2840254166877414,True,True,True,G4
shape_only,exponential,moderate,0.5,1.25,L4,1.0,1.0,11.013858700942551,1.4549914146182013,True,True,True,G5
shape_only,exponential,moderate,0.5,1.25,F_fast,0.5,1.0,24.830955295272016,1.4164355663335328,False,True,False,G6
shape_only,exponential,moderate,0.5,1.5,L0,0.0,1.0,43.52602158068175,0.8824969025845955,True,False,False,G1
shape_only,exponential,moderate,0.5,1.5,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,exponential,moderate,0.5,1.5,L2,0.5,1.0,24.830955295272016,1.1331484530668263,True,True,True,G3
shape_only,exponential,moderate,0.5,1.5,L3,0.75,1.0,17.11675343973211,1.2840254166877414,True,True,True,G4
shape_only,exponential,moderate,0.5,1.5,L4,1.0,1.0,11.013858700942551,1.4549914146182013,True,True,True,G5
shape_only,exponential,moderate,0.5,1.5,F_fast,0.5,1.0,24.830955295272016,1.6997226796002396,False,True,False,G6
shape_only,exponential,moderate,0.5,2.0,L0,0.0,1.0,43.52602158068175,0.8824969025845955,True,False,False,G1
shape_only,exponential,moderate,0.5,2.0,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,exponential,moderate,0.5,2.0,L2,0.5,1.0,24.830955295272016,1.1331484530668263,True,True,True,G3
shape_only,exponential,moderate,0.5,2.0,L3,0.75,1.0,17.11675343973211,1.2840254166877414,True,True,True,G4
shape_only,exponential,moderate,0.5,2.0,L4,1.0,1.0,11.013858700942551,1.4549914146182013,True,True,True,G5
shape_only,exponential,moderate,0.5,2.0,F_fast,0.5,1.0,24.830955295272016,2.2662969061336526,False,True,False,G6
shape_only,exponential,strong,1.0,0.5,L0,0.0,1.0,43.52602158068175,0.7788007830714049,False,False,False,G1
shape_only,exponential,strong,1.0,0.5,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,exponential,strong,1.0,0.5,L2,0.5,1.0,24.830955295272016,1.2840254166877414,False,True,False,G3
shape_only,exponential,strong,1.0,0.5,L3,0.75,1.0,17.11675343973211,1.6487212707001282,True,True,True,G4
shape_only,exponential,strong,1.0,0.5,L4,1.0,1.0,11.013858700942551,2.117000016612675,True,True,True,G5
shape_only,exponential,strong,1.0,0.5,F_fast,0.5,1.0,24.830955295272016,0.6420127083438707,True,True,True,G6
shape_only,exponential,strong,1.0,0.8,L0,0.0,1.0,43.52602158068175,0.7788007830714049,True,False,False,G1
shape_only,exponential,strong,1.0,0.8,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,exponential,strong,1.0,0.8,L2,0.5,1.0,24.830955295272016,1.2840254166877414,False,True,False,G3
shape_only,exponential,strong,1.0,0.8,L3,0.75,1.0,17.11675343973211,1.6487212707001282,True,True,True,G4
shape_only,exponential,strong,1.0,0.8,L4,1.0,1.0,11.013858700942551,2.117000016612675,True,True,True,G5
shape_only,exponential,strong,1.0,0.8,F_fast,0.5,1.0,24.830955295272016,1.0272203333501932,True,True,True,G6
shape_only,exponential,strong,1.0,1.0,L0,0.0,1.0,43.52602158068175,0.7788007830714049,True,False,False,G1
shape_only,exponential,strong,1.0,1.0,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,exponential,strong,1.0,1.0,L2,0.5,1.0,24.830955295272016,1.2840254166877414,True,True,True,G3
shape_only,exponential,strong,1.0,1.0,L3,0.75,1.0,17.11675343973211,1.6487212707001282,True,True,True,G4
shape_only,exponential,strong,1.0,1.0,L4,1.0,1.0,11.013858700942551,2.117000016612675,True,True,True,G5
shape_only,exponential,strong,1.0,1.0,F_fast,0.5,1.0,24.830955295272016,1.2840254166877414,True,True,True,G3
shape_only,exponential,strong,1.0,1.25,L0,0.0,1.0,43.52602158068175,0.7788007830714049,True,False,False,G1
shape_only,exponential,strong,1.0,1.25,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,exponential,strong,1.0,1.25,L2,0.5,1.0,24.830955295272016,1.2840254166877414,True,True,True,G3
shape_only,exponential,strong,1.0,1.25,L3,0.75,1.0,17.11675343973211,1.6487212707001282,True,True,True,G4
shape_only,exponential,strong,1.0,1.25,L4,1.0,1.0,11.013858700942551,2.117000016612675,True,True,True,G5
shape_only,exponential,strong,1.0,1.25,F_fast,0.5,1.0,24.830955295272016,1.6050317708596769,False,True,False,G6
shape_only,exponential,strong,1.0,1.5,L0,0.0,1.0,43.52602158068175,0.7788007830714049,True,False,False,G1
shape_only,exponential,strong,1.0,1.5,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,exponential,strong,1.0,1.5,L2,0.5,1.0,24.830955295272016,1.2840254166877414,True,True,True,G3
shape_only,exponential,strong,1.0,1.5,L3,0.75,1.0,17.11675343973211,1.6487212707001282,True,True,True,G4
shape_only,exponential,strong,1.0,1.5,L4,1.0,1.0,11.013858700942551,2.117000016612675,True,True,True,G5
shape_only,exponential,strong,1.0,1.5,F_fast,0.5,1.0,24.830955295272016,1.926038125031612,False,True,False,G6
shape_only,exponential,strong,1.0,2.0,L0,0.0,1.0,43.52602158068175,0.7788007830714049,True,False,False,G1
shape_only,exponential,strong,1.0,2.0,L1,0.25,1.0,33.81584132956551,1.0,True,True,True,G2
shape_only,exponential,strong,1.0,2.0,L2,0.5,1.0,24.830955295272016,1.2840254166877414,True,True,True,G3
shape_only,exponential,strong,1.0,2.0,L3,0.75,1.0,17.11675343973211,1.6487212707001282,True,True,True,G4
shape_only,exponential,strong,1.0,2.0,L4,1.0,1.0,11.013858700942551,2.117000016612675,True,True,True,G5
shape_only,exponential,strong,1.0,2.0,F_fast,0.5,1.0,24.830955295272016,2.568050833375483,False,True,False,G6
evidence_tradeoff,linear,independent,0.0,0.5,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
evidence_tradeoff,linear,independent,0.0,0.5,L1,0.25,1.15,38.83044962497387,1.0,False,True,False,G2
evidence_tradeoff,linear,independent,0.0,0.5,L2,0.5,1.3,32.15913884757574,1.0,False,True,False,G3
evidence_tradeoff,linear,independent,0.0,0.5,L3,0.75,1.5,25.450971924173462,1.0,False,True,False,G4
evidence_tradeoff,linear,independent,0.0,0.5,L4,1.0,1.75,18.91124888921351,1.0,False,True,False,G5
evidence_tradeoff,linear,independent,0.0,0.5,F_fast,0.5,0.1,2.637711593729574,0.5,True,True,True,G6
evidence_tradeoff,linear,independent,0.0,0.8,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
evidence_tradeoff,linear,independent,0.0,0.8,L1,0.25,1.15,38.83044962497387,1.0,False,True,False,G2
evidence_tradeoff,linear,independent,0.0,0.8,L2,0.5,1.3,32.15913884757574,1.0,False,True,False,G3
evidence_tradeoff,linear,independent,0.0,0.8,L3,0.75,1.5,25.450971924173462,1.0,False,True,False,G4
evidence_tradeoff,linear,independent,0.0,0.8,L4,1.0,1.75,18.91124888921351,1.0,False,True,False,G5
evidence_tradeoff,linear,independent,0.0,0.8,F_fast,0.5,0.1,2.637711593729574,0.8,True,True,True,G6
evidence_tradeoff,linear,independent,0.0,1.0,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
evidence_tradeoff,linear,independent,0.0,1.0,L1,0.25,1.15,38.83044962497387,1.0,False,True,False,G2
evidence_tradeoff,linear,independent,0.0,1.0,L2,0.5,1.3,32.15913884757574,1.0,False,True,False,G3
evidence_tradeoff,linear,independent,0.0,1.0,L3,0.75,1.5,25.450971924173462,1.0,False,True,False,G4
evidence_tradeoff,linear,independent,0.0,1.0,L4,1.0,1.75,18.91124888921351,1.0,False,True,False,G5
evidence_tradeoff,linear,independent,0.0,1.0,F_fast,0.5,0.1,2.637711593729574,1.0,True,True,True,G6
