scenario,candidate,mean_loss_days,bootstrap_ci95_low,bootstrap_ci95_high
shape_only,L0,43.52602158068175,43.20471386538169,43.85121801793364
shape_only,L1,33.81584132956551,33.572153573927025,34.06163974976255
shape_only,L2,24.830955295272016,24.65709601652331,25.005668004328992
shape_only,L3,17.11675343973211,17.000352661038416,17.233171401944468
shape_only,L4,11.013858700942551,10.941148806409263,11.08659059687548
shape_only,F_fast,24.830955295272016,24.65709601652331,25.005668004328992
evidence_tradeoff,L0,43.52602158068175,43.20462534692816,43.848856338744845
evidence_tradeoff,L1,38.83044962497387,38.551150562103565,39.11163515141004
evidence_tradeoff,L2,32.15913884757574,31.93460987200718,32.38409800509751
evidence_tradeoff,L3,25.450971924173462,25.279773875131827,25.622105477097698
evidence_tradeoff,L4,18.91124888921351,18.78979487301605,19.032082107038697
evidence_tradeoff,F_fast,2.637711593729574,2.6201981461675095,2.6553580327704536
boundary_tradeoff,L0,43.52602158068175,43.19517291481416,43.852417068819506
boundary_tradeoff,L1,38.83044962497387,38.54284324117451,39.11132023669859
boundary_tradeoff,L2,32.15913884757574,31.927884167983795,32.383116571626964
boundary_tradeoff,L3,25.450971924173462,25.275282400373385,25.621244824593035
boundary_tradeoff,L4,18.91124888921351,18.788395191485392,19.031532057475044
boundary_tradeoff,F_fast,12.506280876982748,12.415499797183996,12.594112435883451
