case,recovery_scenario,sa,metric,statistic,mean,mc_ci95_low,mc_ci95_high,n_mc_samples
A,shape_only,0.6,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.8,functionality_day_90,mean_top3_jaccard,0.9988333333333334,1.0,1.0,10000
A,shape_only,1.0,functionality_day_90,mean_top3_jaccard,0.99739,1.0,1.0,10000
A,shape_only,0.2,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.4,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.6,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.8,functionality_day_90,mean_kendall_tau,0.9985333333333334,1.0,1.0,10000
A,shape_only,1.0,functionality_day_90,mean_kendall_tau,0.9962400000000001,1.0,1.0,10000
A,shape_only,0.2,functionality_day_90,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.4,functionality_day_90,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.6,functionality_day_90,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.8,functionality_day_90,mean_spearman_rho,0.9991366666666669,1.0,1.0,10000
A,shape_only,1.0,functionality_day_90,mean_spearman_rho,0.99724,1.0,1.0,10000
A,shape_only,0.2,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.4,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.6,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.8,recovery_rapidity_90,top1_change_rate,0.4666666666666666,0.03333333333333336,0.6666666666666666,10000
A,shape_only,1.0,recovery_rapidity_90,top1_change_rate,0.5999999999999999,0.3666666666666667,0.6666666666666666,10000
A,shape_only,0.2,recovery_rapidity_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.4,recovery_rapidity_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.6,recovery_rapidity_90,pairwise_reversal_rate,1e-05,0.0,0.0,10000
A,shape_only,0.8,recovery_rapidity_90,pairwise_reversal_rate,0.006490000000000001,0.0,0.15,10000
A,shape_only,1.0,recovery_rapidity_90,pairwise_reversal_rate,0.012418333333333332,0.0,0.25,10000
A,shape_only,0.2,recovery_rapidity_90,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.4,recovery_rapidity_90,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.6,recovery_rapidity_90,mean_top3_jaccard,0.9999833333333332,1.0,1.0,10000
A,shape_only,0.8,recovery_rapidity_90,mean_top3_jaccard,0.9944233333333333,0.8333333333333334,1.0,10000
A,shape_only,1.0,recovery_rapidity_90,mean_top3_jaccard,0.9906200000000001,0.8333333333333334,1.0,10000
A,shape_only,0.2,recovery_rapidity_90,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.4,recovery_rapidity_90,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.6,recovery_rapidity_90,mean_kendall_tau,0.9999866666666667,1.0,1.0,10000
A,shape_only,0.8,recovery_rapidity_90,mean_kendall_tau,0.9912533333333333,0.8000000000000002,1.0,10000
A,shape_only,1.0,recovery_rapidity_90,mean_kendall_tau,0.9832466666666667,0.6666666666666666,1.0,10000
A,shape_only,0.2,recovery_rapidity_90,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.4,recovery_rapidity_90,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.6,recovery_rapidity_90,mean_spearman_rho,0.9999933333333334,1.0,1.0,10000
A,shape_only,0.8,recovery_rapidity_90,mean_spearman_rho,0.9938433333333334,0.8666666666666667,1.0,10000
A,shape_only,1.0,recovery_rapidity_90,mean_spearman_rho,0.9858533333333332,0.7333333333333334,1.0,10000
A,capacity_recovery_tradeoff,0.2,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
